1101,40.85,267
1102,31.5,267
1103,11.95,267
1104,22.05,267
1108,7.62,267
1109,13.7,260
1110,13.9,266
1201,23.6,267
1203,25.75,266
1210,38.1,267
1215,63.5,267
1216,71.0,267
1217,7.52,267
1218,17.15,267
1219,18.45,263
1220,11.75,267
1225,72.5,239
1227,66.4,267
1229,37.9,266
1231,34.85,267
1232,93.9,267
1233,38.0,267
1234,31.25,267
1235,35.0,263
1236,17.6,265
1256,172.0,267
1262,37.85,267
1301,104.0,267
1303,81.1,267
1304,14.45,267
1305,31.95,267
1307,32.35,267
1308,17.8,267
1309,12.5,267
1310,21.5,267
1312,33.5,267
1313,19.95,267
1314,13.05,267
1315,26.7,265
1316,22.4,267
1319,53.7,267
1321,27.85,267
1323,34.6,267
1324,12.4,267
1325,18.15,267
1326,109.0,267
1337,11.2,267
1338,103.0,267
1339,38.9,267
1340,45.55,267
1341,58.1,101
1402,28.5,267
1409,10.3,267
1410,23.6,266
1413,15.85,267
1414,7.85,267
1416,17.2,267
1417,4.51,267
1418,8.33,127
1419,48.0,239
1423,10.65,260
1432,10.5,266
1434,33.6,267
1435,5.5,267
1436,39.5,266
1437,19.65,267
1438,6.7,251
1439,49.75,266
1440,13.1,267
1441,14.6,267
1442,19.75,267
1443,5.61,259
1444,11.3,267
1445,8.36,267
1446,22.0,267
1447,8.46,267
1449,6.21,267
1451,24.8,267
1452,20.7,267
1453,11.25,265
1454,8.4,263
1455,10.4,267
1456,nan,222
1457,14.05,267
1459,8.82,267
1460,12.45,267
1463,22.25,267
1464,25.45,267
1465,14.4,265
1466,11.0,256
1467,10.95,267
1468,9.65,267
1470,nan,174
1471,6.11,267
1472,28.8,266
1473,23.0,267
1474,11.75,267
1475,27.2,227
1476,363.0,267
1477,143.5,267
1503,41.1,267
1504,24.15,267
1506,23.05,267
1507,51.9,267
1512,10.55,267
1513,21.6,267
1514,16.3,267
1515,44.0,267
1516,16.2,267
1517,10.4,267
1519,26.35,267
1521,81.6,267
1522,29.25,267
1524,10.45,267
1525,84.6,267
1526,59.0,267
1527,53.2,267
1528,16.3,267
1529,3.55,231
1530,32.55,267
1531,21.1,267
1532,30.8,267
1533,36.4,267
1535,44.1,265
1536,132.0,267
1537,142.5,267
1538,5.58,255
1539,17.5,267
1540,15.0,267
1541,34.3,266
1558,129.0,267
1560,77.5,267
1568,27.9,267
1582,65.0,260
1583,61.0,263
1587,20.25,267
1589,78.0,267
1590,519.0,267
1592,31.65,267
1598,38.9,267
1604,13.35,262
1605,20.25,267
1608,12.25,267
1609,15.65,267
1611,12.4,267
1612,11.45,406
1614,23.0,267
1615,22.2,267
1616,6.05,267
1617,13.65,262
1618,9.47,267
1626,22.35,267
1701,20.3,267
1702,60.4,267
1707,252.0,267
1708,29.7,267
1709,18.7,267
1710,32.0,267
1711,17.9,267
1712,17.05,267
1713,17.5,266
1714,8.23,267
1717,28.4,267
1718,9.83,267
1720,36.9,267
1721,12.05,267
1722,40.1,267
1723,158.0,267
1724,14.0,264
1725,17.0,267
1726,80.5,252
1727,15.0,267
1730,47.6,267
1731,14.25,267
1732,12.2,266
1733,30.2,267
1734,23.25,267
1735,16.15,253
1736,30.45,267
1737,28.85,267
1760,106.0,267
1762,24.85,267
1773,81.1,267
1776,21.3,253
1783,34.0,267
1786,72.5,267
1789,32.45,267
1802,19.85,267
1805,12.25,266
1806,8.14,267
1808,56.3,267
1809,12.3,267
1810,9.69,267
1817,41.45,263
1902,18.0,267
1903,33.2,265
1904,16.85,267
1905,11.0,267
1906,25.7,267
1907,12.7,267
1909,34.8,267
2002,23.6,267
2006,24.65,267
2007,5.31,267
2008,12.4,261
2009,11.3,267
2010,11.35,267
2012,20.0,267
2013,31.0,267
2014,10.8,267
2015,59.8,267
2017,10.75,267
2020,15.7,267
2022,6.86,260
2023,10.3,267
2024,11.35,267
2025,4.35,133
2027,34.05,266
2028,10.65,267
2029,26.7,267
2030,16.25,267
2031,43.8,267
2032,10.65,267
2033,12.6,267
2034,26.6,267
2038,13.55,267
2049,450.0,267
2059,421.5,267
2062,36.3,267
2069,24.2,267
2101,25.0,267
2102,12.9,267
2103,30.0,267
2104,42.6,267
2105,47.8,267
2106,34.4,267
2107,15.0,267
2108,25.05,267
2109,15.2,267
2114,89.6,267
2115,39.2,266
2201,22.65,267
2204,27.95,267
2206,21.25,266
2207,290.5,267
2208,24.9,260
2227,256.0,267
2228,89.1,267
2231,390.0,266
2236,53.7,267
2239,151.0,267
2243,32.7,264
2301,38.8,267
2302,6.0,267
2303,16.0,266
2305,8.75,267
2308,108.0,267
2312,10.5,267
2313,29.8,267
2314,25.8,267
2316,15.85,267
2317,83.3,261
2321,2.4,257
2323,6.05,267
2324,19.4,266
2327,636.0,266
2328,20.5,267
2329,8.16,260
2330,227.0,267
2331,17.0,267
2332,11.0,267
2337,47.0,267
2338,17.0,267
2340,22.1,267
2342,32.2,267
2344,18.7,267
2345,70.0,247
2347,42.55,232
2348,39.3,267
2349,5.6,260
2351,71.1,267
2352,20.35,267
2353,22.8,267
2354,74.0,267
2355,38.0,267
2356,22.5,267
2357,277.5,267
2358,19.7,267
2359,20.6,267
2360,152.0,267
2362,29.15,267
2363,8.5,267
2364,4.0,266
2365,10.05,267
2367,20.35,267
2368,9.44,267
2369,12.6,267
2371,22.3,266
2373,88.5,267
2374,17.35,267
2375,47.05,266
2376,65.8,267
2377,93.8,267
2379,111.5,267
2380,6.74,267
2382,54.1,267
2383,73.2,267
2385,73.2,267
2387,15.55,260
2388,34.85,267
2390,10.5,267
2392,38.6,267
2393,41.9,267
2395,203.0,267
2397,66.5,267
2399,20.35,267
2401,14.4,267
2402,15.9,266
2404,64.3,260
2405,15.75,267
2406,12.45,267
2408,93.9,267
2409,12.35,267
2412,112.5,267
2413,21.15,267
2414,20.5,267
2415,19.0,267
2417,12.15,267
2419,21.3,260
2420,35.7,267
2421,36.45,267
2423,22.9,267
2424,nan,217
2425,26.35,267
2426,15.75,267
2427,11.1,267
2428,83.7,267
2429,12.85,179
2430,24.6,267
2431,13.3,267
2433,47.75,267
2434,14.4,267
2436,26.2,260
2438,10.0,260
