證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
5203,訊連,137200,81,9858100,71.7,71.9,71.7,71.9,+,0.2,71.9,1,72,1,17.24
5215,科嘉-KY,40000,24,1266300,31.8,31.8,31.6,31.7,-,0.05,31.6,2,31.7,2,7.91
5225,東科-KY,72000,33,2368150,33.4,33.4,32.65,32.9,-,0.4,32.9,11,33,6,5.75
5234,達興材料,714316,653,61825918,88,88.6,85.5,86.8,-,0.7,86.7,1,86.8,2,13.23
5243,乙盛-KY,105000,89,3570150,34.2,34.2,33.8,34.05,-,0.15,34.05,4,34.1,5,13.95
5258,虹堡,1917000,1090,39918100,20.95,21.35,20.35,20.6,-,0.55,20.55,3,20.6,10,0
5264,鎧勝-KY,858749,611,37061418,43.3,43.65,42.6,43.2,-,0.45,43.15,1,43.2,2,0
5269,祥碩,1008084,958,502947500,515,518,486.5,487.5,-,25.5,487.5,1,488,1,27.08
5283,禾聯碩,507320,402,49073320,98.2,98.5,95.8,95.8,-,2.4,95.8,30,96,12,6.76
5284,jpp-KY,7000,5,382100,54.7,54.7,54.2,54.6,-,0.1,53.5,1,54.6,1,14.64
5285,界霖,61000,49,3752900,62,62.1,61.1,61.4,-,0.7,61.4,5,62,2,15.12
5288,豐祥-KY,1256801,966,158191525,130,130,124,126,-,6,125.5,44,126,12,13.59
5305,敦南,801040,519,23524821,29.6,29.7,29.2,29.2,-,0.5,29.2,47,29.3,2,9.83
5388,中磊,693978,577,45719051,65.5,66.2,65.3,65.8,+,0.2,65.8,4,65.9,4,19.35
5434,崇越,268980,222,21819162,81.6,81.6,80.8,80.9,-,0.9,80.8,23,81,10,9.63
5469,瀚宇博,3755894,1788,109436276,29.5,29.65,28.9,29,-,0.45,28.95,107,29,9,7.27
5471,松翰,52290,44,1610236,30.85,30.95,30.7,30.7,-,0.15,30.7,1,30.8,13,14.55
5484,慧友,89336,21,386611,4.36,4.37,4.2,4.36,+,0.02,4.32,13,4.36,10,0
5515,建國,58010,31,608802,10.5,10.55,10.45,10.5, ,0,10.5,80,10.55,24,15.91
5519,隆大,1213305,430,19464355,16,16.15,15.95,16.1,+,0.1,16.05,8,16.1,15,5.81
5521,工信,1073412,179,7984625,7.45,7.48,7.41,7.41,-,0.02,7.41,17,7.42,15,0
5522,遠雄,1093734,531,43341513,39.3,39.9,39.3,39.8,+,0.5,39.75,1,39.8,8,14.37
5525,順天,354300,194,9554830,27.35,27.35,26.75,26.95,-,0.3,26.95,5,27,21,5.59
5531,鄉林,254602,111,2533380,9.98,10,9.91,10,+,0.01,9.98,5,10.05,16,0
5533,皇鼎,1051057,21,16714056,15.9,16,15.9,16,-,0.1,16,11,16.05,1,25.81
5534,長虹,736922,541,65986916,89.6,90.2,88.9,89.5, ,0,89.5,84,89.6,5,10.77
5538,東明-KY,1000,1,35500,35.5,35.5,35.5,35.5,+,0.1,35.2,1,36,1,12.63
5607,遠雄港,1189414,495,24822718,21,21.15,20.7,20.7,-,0.4,20.7,5,20.75,3,15.8
5608,四維航,138433,75,1171982,8.45,8.52,8.4,8.45, ,0,8.45,1,8.46,3,0
5706,鳳凰,39405,26,1470187,37.5,37.5,37.25,37.3,-,0.05,37.3,2,37.35,3,12.77
5871,中租-KY,2627933,1441,304750189,117,118,115,115.5,-,2,115.5,76,116,49,10.7
5876,上海商銀,4287700,1580,247768411,57.4,58,57.3,57.9,+,0.5,57.8,2,57.9,76,16.5
5880,合庫金,16289437,3595,336122347,20.55,20.7,20.5,20.7,+,0.15,20.65,304,20.7,309,16.43
5906,台南-KY,4000,4,53650,13.45,13.45,13.4,13.4, ,0,13.4,1,13.6,1,23.93
5907,大洋-KY,879000,526,29996700,33.9,34.5,33.8,33.8,-,0.1,33.8,14,33.95,9,11.94
6005,群益證,1724500,560,16041883,9.3,9.32,9.29,9.31,+,0.02,9.3,122,9.31,14,17.9
6024,群益期,312466,206,14965834,47.9,48,47.8,47.8, ,0,47.8,2,47.85,7,14.4
6108,競國,187001,111,5428279,29.05,29.15,28.95,29,-,0.05,29,3,29.1,3,7.55
6112,聚碩,68250,53,2467859,36.15,36.3,36.05,36.1,-,0.05,36.05,17,36.1,7,12.99
6115,鎰勝,21015,17,906649,43.3,43.3,43.1,43.15,-,0.15,43.15,1,43.2,3,13.7
6116,彩晶,7097797,2039,49056744,6.92,6.99,6.86,6.88,-,0.03,6.88,240,6.89,63,62.55
6117,迎廣,5310,6,67787,12.85,12.85,12.7,12.7,-,0.05,12.65,3,12.75,1,0
6120,達運,1530802,567,29075357,19.05,19.2,18.9,19.05,-,0.05,19,7,19.05,34,635
6128,上福,39010,31,1378602,35.3,35.55,35.2,35.25,-,0.05,35.2,2,35.45,3,41.96
6131,悠克,353969,31,800193,2.1,2.27,2.1,2.26,+,0.19,2.26,44,2.27,23,0
6133,金橋,36000,15,302600,8.47,8.47,8.35,8.46,+,0.09,8.4,10,8.46,4,29.17
6136,富爾特,23200,23,480449,20.7,20.85,20.65,20.65,-,0.1,20.65,6,20.75,7,29.08
6139,亞翔,152000,90,4205950,27.9,27.9,27.6,27.6,-,0.25,27.55,5,27.6,2,12.84
6141,柏承,275000,134,5170150,19.15,19.15,18.65,18.75,-,0.3,18.75,51,18.8,21,0
6142,友勁,123214,40,888190,7.24,7.25,7.16,7.25,-,0.05,7.18,5,7.25,6,0
6152,百一,193360,54,915471,4.66,4.8,4.66,4.8,+,0.04,4.76,159,4.8,45,0
6153,嘉聯益,3288000,1583,93220550,28.6,28.9,28.1,28.1,-,0.4,28.1,67,28.15,2,13.98
6155,鈞寶,166093,107,3445889,20.65,20.95,20.6,20.75,+,0.1,20.65,9,20.75,1,11.28
6164,華興,191003,87,1480173,7.83,7.83,7.71,7.76,-,0.07,7.75,3,7.76,1,45.65
6165,捷泰,33003,17,261264,8.1,8.1,7.85,8.03,-,0.02,8.03,1,8.05,3,0
6166,凌華,312000,95,12192950,40.2,40.2,38.9,38.9,-,0.9,38.9,1,39,17,25.42
6168,宏齊,226792,117,3215845,14.25,14.3,14.1,14.1,-,0.1,14.1,70,14.15,5,11.95
6172,互億,315760,175,5216555,15.7,16.85,15.55,16.85,+,1.5,16.85,100,--,0,35.1
6176,瑞儀,2634355,1935,257883708,98.5,99.4,97.2,97.2,-,2.2,97.2,32,97.3,2,7.15
6177,達麗,151314,104,4618558,30.8,30.8,30.45,30.5,-,0.25,30.45,17,30.5,3,11.17
6183,關貿,97223,53,3301348,34.1,34.1,33.9,34.05,-,0.05,33.95,7,34.05,1,19.68
6184,大豐電,19300,18,721790,37.4,37.4,37.4,37.4, ,0,37.3,3,37.5,7,14.55
6189,豐藝,150898,130,4981474,33.1,33.1,32.95,32.95,-,0.15,32.95,28,33,8,10.66
6191,精成科,933200,408,12783090,13.8,13.85,13.6,13.65,-,0.2,13.6,65,13.65,2,10.75
6192,巨路,95902,74,7037746,74.4,74.4,72.9,73.4,-,0.6,73.4,1,73.5,6,9.37
6196,帆宣,254040,196,12426964,49.55,49.55,48.5,48.5,-,1.05,48.5,10,49,8,12.28
6197,佳必琪,74750,65,2224811,29.9,29.9,29.55,29.6,-,0.15,29.6,10,29.75,10,11.79
6201,亞弘電,22100,21,775870,35.05,35.2,35.05,35.2,+,0.1,35.1,3,35.25,1,10.83
6202,盛群,800463,502,53132489,66.7,66.7,66.1,66.3,-,0.2,66.3,14,66.4,1,14.41
6205,詮欣,12024,11,320893,26.9,26.9,26.6,26.6,-,0.2,26.65,1,26.8,1,12.04
6206,飛捷,56380,59,4547589,80.4,80.9,80.4,80.8,+,0.4,80.7,11,80.8,1,13.84
6209,今國光,426030,285,12268762,29.15,29.15,28.6,28.9,-,0.35,28.75,2,28.9,8,0
6213,聯茂,4783335,3359,417851375,87.7,89.7,85.6,86,-,2.3,85.9,23,86,39,13.56
6214,精誠,598849,396,43929528,73.6,73.9,73.1,73.1,-,0.3,73.1,49,73.2,7,16.32
6215,和椿,128030,86,2047984,16.2,16.2,15.7,16.1,-,0.05,15.85,9,16.1,6,26.83
6216,居易,54003,35,1536834,28.5,28.55,28.4,28.4, ,0,28.4,2,28.45,5,13.79
6224,聚鼎,55700,46,3085019,55.6,55.6,55.3,55.6, ,0,55.5,6,55.6,4,14.26
6225,天瀚,32140,13,86963,2.6,3.08,2.6,3.08,+,0.24,2.84,20,3.08,2,0
6226,光鼎,117000,32,921780,7.85,7.93,7.8,7.82,-,0.12,7.82,1,7.87,6,0
6230,超眾,984600,739,155337900,157.5,159.5,156,158.5,+,1,158,14,158.5,11,19.45
6235,華孚,264000,117,3107650,11.95,11.95,11.6,11.7,-,0.2,11.7,7,11.8,12,10.45
6239,力成,1933475,1277,144202180,75,75.4,73.7,74.1,-,0.6,74,16,74.1,49,9.6
6243,迅杰,49570,22,458393,9.25,9.28,9.15,9.25,+,0.08,9.25,13,9.27,4,0
6251,定穎,148325,69,1334044,9.01,9.01,8.96,9, ,0,8.99,3,9,2,0
6257,矽格,550050,286,15707630,28.55,28.65,28.45,28.5,-,0.05,28.5,48,28.6,10,9.69
6269,台郡,2520158,1721,195602624,78,78.7,77.1,77.3,-,1.7,77.3,66,77.4,3,9.64
6271,同欣電,349126,279,35069822,101,101.5,99.9,101.5,+,0.5,101,1,101.5,8,17.32
6277,宏正,67100,47,6058559,90.2,90.9,90.1,90.1, ,0,90.1,4,90.2,1,7.13
